Package,Version,License(s),Patches
kmod-pppox,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-rdm,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-scsi-core,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-scsi-generic,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-slhc,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-spi-bitbang,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-spi-dev,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-spi-gpio,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
kmod-spi-gpio-custom,3.10.14-p112871-1,https://opensource.org/licenses/GPL-2.0,
ldd,0.9.33.2-1,https://opensource.org/licenses/GPL-2.0,
libattr,20140610-1,https://opensource.org/licenses/GPL-2.0,
libavahi,0.6.31-6,https://opensource.org/licenses/GPL-2.0,
libavahi-client,0.6.31-6,https://opensource.org/licenses/LGPL-2.1,
libavahi-dbus-support,0.6.31-6,https://opensource.org/licenses/GPL-2.0,
libblkid,2.24.1-1,https://www.gnu.org/licenses/lgpl.html,
libblobmsg-json,2014-08-04-dffbc09baf71b294185a36048166d00066d433b5,https://opensource.org/licenses/ISC,
libc,0.9.33.2-1,https://opensource.org/licenses/LGPL-2.1,
libcurl,7.38.0-1,https://opensource.org/licenses/MIT,
libdaemon,0.14-4,https://opensource.org/licenses/LGPL-2.1,
libdbus,1.8.8-1,https://opensource.org/licenses/GPL-2.0,
libevent2,2.0.21-1,https://opensource.org/licenses/BSD-3-Clause,
libexpat,2.1.0-1,https://opensource.org/licenses/MIT,
libext2fs,1.42.4-1,https://opensource.org/licenses/LGPL-2.1,
libffi,3.0.13-1,https://opensource.org/licenses/MIT,
libfuse,2.9.0-2,https://opensource.org/licenses/LGPL-2.1,
libgcc,4.8-linaro-1,https://opensource.org/licenses/GPL-2.0,
libgdbm,1.11-1,https://opensource.org/licenses/GPL-3.0,
libgmp,6.0.0-1,"https://opensource.org/licenses/LGPL-3.0
https://opensource.org/licenses/GPL-2.0",
libi2c,2014-06-20-1,https://opensource.org/licenses/GPL-2.0,
libip4tc,1.4.21-1,https://opensource.org/licenses/GPL-2.0,
libip6tc,1.4.21-1,https://opensource.org/licenses/GPL-2.0,
libiwinfo,51,https://opensource.org/licenses/GPL-2.0,
libiwinfo-lua,51,https://opensource.org/licenses/GPL-2.0,
libjson,0.11-2,https://opensource.org/licenses/MIT,
libjson-c,0.11-2,https://opensource.org/licenses/MIT,
libjson-script,2014-08-04-dffbc09baf71b294185a36048166d00066d433b5,"https://opensource.org/licenses/ISC
https://opensource.org/licenses/BSD-3-Clause",
liblua,5.1.5-1,https://opensource.org/licenses/MIT,
libmount,2.24.1-1,"https://opensource.org/licenses/BSD-2-Clause
https://opensource.org/licenses/BSD-3-Clause",
libncurses,5.9-1,https://opensource.org/licenses/MIT,
libnl-tiny,0.1-3,https://opensource.org/licenses/GPL-2.0,
libnvram,1,https://opensource.org/licenses/GPL-2.0,
libopenssl,1.0.1j-1,https://www.openssl.org/source/license.txt,
libpcap,1.5.3-1,https://opensource.org/licenses/BSD-3-Clause,
libpcre,8.35-2,https://opensource.org/licenses/BSD-2-Clause,
libpolarssl,1.3.8-2,https://opensource.org/licenses/GPL-2.0,
libpthread,0.9.33.2-1,https://opensource.org/licenses/LGPL-3.0,
libreadline,6.2-1,https://opensource.org/licenses/GPL-2.0,
librt,0.9.33.2-1,https://opensource.org/licenses/LGPL-3.0,
libsqlite3,3081101-1,Public Domain,
libstdcpp,4.8-linaro-1,https://opensource.org/licenses/LGPL-3.0,
libsysfs,2.1.0-2,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/LGPL-2.1",
libthread-db,0.9.33.2-1,https://opensource.org/licenses/GPL-3.0,
libubox,2014-08-04-dffbc09baf71b294185a36048166d00066d433b5,https://opensource.org/licenses/LGPL-2.1,
libubus,2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3,https://opensource.org/licenses/LGPL-2.1,
libubus-lua,2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3,https://opensource.org/licenses/LGPL-2.1,
libuci,2014-04-11.1-1,https://opensource.org/licenses/GPL-2.0,
libuci-lua,2014-04-11.1-1,https://opensource.org/licenses/GPL-2.0,
libusb-1.0,1.0.9-1,https://opensource.org/licenses/GPL-2.0,
libustream-polarssl,2014-03-25-fc0b5ec804ee43c532978dd04ab0509c34baefb0,https://opensource.org/licenses/GPL-2.0,
libuuid,2.24.1-1,https://opensource.org/licenses/BSD-2-Clause,
libxml2,2.9.2-2,https://opensource.org/licenses/MIT,
libxtables,1.4.21-1,https://opensource.org/licenses/GPL-2.0,
lua,5.1.5-1,https://opensource.org/licenses/mit-license.html,
mii_mgr,1,https://opensource.org/licenses/GPL-2.0,
mount-utils,2.24.1-1,"https://opensource.org/licenses/GPL-2.0
https://opensource.org/licenses/LGPL-2.1
https://opensource.org/licenses/BSD-2-Clause",
mtd,20,https://opensource.org/licenses/GPL-2.0,"0308-ubifs_support.patch
0310-nand_partitions.patch
0313-macronix_0bit_ecc_flash.patch"
netifd,2014-09-08.1-46c569989f984226916fec28dd8ef152a664043e,https://opensource.org/licenses/GPL-2.0,
nvram,1,https://opensource.org/licenses/GPL-2.0,
objdump,2.24-2,https://opensource.org/licenses/BSD-2-Clause,
odhcp6c,2014-12-10-722226c4f1d45c8bf4ac9189523738abcf7d648f,https://opensource.org/licenses/GPL-2.0,
odhcpd,2014-09-25-a6e2953843eaf6c93764f9feef10466e7a84ec85,https://opensource.org/licenses/GPL-2.0,
opkg,9c97d5ecd795709c8584e972bfdf3aee3a5b846d-7,https://opensource.org/licenses/GPL-2.0,
php5,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-cgi,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-cli,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-calendar,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-curl,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-gmp,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-hash,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-json,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-mbstring,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-openssl,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-pcntl,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-pdo,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-simplexml,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-soap,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-sockets,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-sqlite3,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-tokenizer,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
php5-mod-xml,5.4.27-1,https://opensource.org/licenses/PHP-3.0,
ppp,2.4.7-2,"https://opensource.org/licenses/BSD-2-Clause
https://opensource.org/licenses/BSD-3-Clause",
ppp-mod-pppoe,2.4.7-2,https://opensource.org/licenses/GPL-2.0,
procd,2014-09-15-c1a558f7d0c1e6c1ffa5a47d557a7b45205eef1d,https://opensource.org/licenses/Apache-2.0,
python,2.7.3-2,https://docs.python.org/3/license.html,
python-mini,2.7.3-2,https://docs.python.org/3/license.html,
reg,1,https://opensource.org/licenses/GPL-2.0,
strace,4.8-1,https://opensource.org/licenses/BSD-3-Clause,
sudo,1.7.10p8-1,https://www.sudo.ws/license.html,
switch,1,https://opensource.org/licenses/GPL-2.0,
terminfo,5.9-1,https://github.com/ghc/packages-terminfo/blob/master/LICENSE,
tmux,1.9a-1,https://opensource.org/licenses/ISC,
uboot-envtools,2014.04-4,https://opensource.org/licenses/GPL-2.0,0311-uboot_cmd_line.patch
ubox,2014-09-16-5c45b560bc8c9e13682269ed963a8a4a65959518,https://opensource.org/licenses/LGPL-2.1,
ubus,2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3,https://opensource.org/licenses/LGPL-2.1,
ubusd,2014-09-17-4c4f35cf2230d70b9ddd87638ca911e8a563f2f3,https://opensource.org/licenses/GPL-2.0,
